HUC12,Name,Aquatic Species At Risk,Aquatic Animal Species At Risk,Aquatic Plant Species At Risk,Wetland Species At Risk,Wetland Animal Species At Risk,Wetland Plant Species At Risk,Terrestrial Species At Risk,Terrestrial Animal Species At Risk,Terrestrial Plant Species At Risk,Reptile Species At Risk,% Protected Rare Ecosystems,% Rare Ecosystem in WS,total_risk
140700060101,Tsagieto Canyon,0,0,0,1,1,0,2,1,1,21,,0,3
140700060102,Upper Aztec Creek,0,0,0,0,0,0,0,0,0,22,,0,0
140700060105,Mountain Sheep Canyon-Lake Powell,0,0,0,0,0,0,0,0,0,23,,0,0
140700060108,Wetherill Canyon,0,0,0,0,0,0,0,0,0,23,,0,0
140700060401,Upper Kaibito Creek,0,0,0,0,0,0,0,0,0,20,,0,0
140700060402,Red Dirt Tank,0,0,0,0,0,0,0,0,0,22,,0,0
140700060403,Starting Water Wash,0,0,0,0,0,0,0,0,0,22,,0,0
140700060404,Black Rock,0,0,0,0,0,0,0,0,0,22,,0,0
140700060405,Circular Tank,0,0,0,0,0,0,0,0,0,22,,0,0
140700060406,Middle Kaibito Creek,0,0,0,0,0,0,0,0,0,22,,0,0
140700060407,Peach Wash,0,0,0,0,0,0,0,0,0,21,,0,0
140700060408,Lower Kaibito Creek,0,0,0,0,0,0,0,0,0,22,,0,0
140700060505,Warm Creek Bay-Lake Powell,0,0,0,0,0,0,0,0,0,25,,0,0
140700060601,Potato Canyon,0,0,0,0,0,0,0,0,0,21,,0,0
140700060602,Binne Etteni Canyon-Navajo Creek,2,0,2,1,0,1,2,0,2,21,,0,5
140700060603,Geshi Canyon,1,0,1,1,1,0,2,1,1,19,,0,4
140700060604,Far End Canyon,2,0,2,1,0,1,2,0,2,19,,0,5
140700060605,Long Canyon,2,0,2,1,0,1,2,0,2,20,,0,5
140700060606,Black Sage Canyon-Navajo Creek,1,0,1,0,0,0,1,0,1,19,,0,2
140700060607,Chaiyahi Creek,0,0,0,0,0,0,0,0,0,19,,0,0
140700060608,Gray Mesa-Navajo Creek,0,0,0,0,0,0,0,0,0,22,,0,0
140700060609,Jayi Canyon,0,0,0,0,0,0,0,0,0,20,,0,0
140700060610,High Point Rock-Navajo Creek,0,0,0,0,0,0,0,0,0,23,,0,0
140700060611,Bigman Spring-Navajo Creek,0,0,0,0,0,0,0,0,0,22,,0,0
140700060612,Navajo Canyon-Lake Powell,0,0,0,0,0,0,0,0,0,23,,0,0
140700060701,Low Valley,0,0,0,0,0,0,0,0,0,22,,0,0
140700060702,White Dome Tank,0,0,0,0,0,0,0,0,0,22,,0,0
140700060703,Upper Antelope Creek,0,0,0,0,0,0,0,0,0,22,,0,0
140700060704,Lower Antelope Creek,0,0,0,0,0,0,0,0,0,23,,0,0
140700060904,Blue Pool Wash-Wahweap Creek,0,0,0,0,0,0,0,0,0,25,,0,0
140700060905,Wahweap Bay-Lake Powell,0,0,0,0,0,0,1,0,1,25,,0,1
140700061001,Sei Billikoon,0,0,0,0,0,0,0,0,0,23,,0,0
140700061002,West Canyon Creek,0,0,0,0,0,0,0,0,0,26,,0,0
140700061003,Face Canyon,0,0,0,0,0,0,0,0,0,24,,0,0
140700061005,Labyrinth Bay,0,0,0,0,0,0,0,0,0,24,,0,0
140700061007,Cummings Mesa-Colorado River,0,0,0,0,0,0,0,0,0,21,,0,0
140700061008,Glen Canyon Dam-Lake Powell,0,0,0,0,0,0,0,0,0,21,,0,0
140700061101,Circular White Ridge,0,0,0,0,0,0,0,0,0,23,,0,0
140700061102,Ferry Swale Canyon,0,0,0,0,0,0,1,0,1,23,,0,1
140700061103,Water Holes Canyon,0,0,0,1,0,1,1,0,1,23,,0,2
140700061104,Fall Creek,0,0,0,0,0,0,0,0,0,24,,0,0
140700061105,Honey Draw-Colorado River,1,1,0,4,3,1,3,1,2,23,,0,8
140700070501,Corral Valley,0,0,0,0,0,0,2,0,2,20,,0,2
140700070502,Upper Coyote Wash,0,0,0,0,0,0,3,0,3,23,,0,3
140700070503,Lower Coyote Wash,0,0,0,0,0,0,3,0,3,24,,0,3
140700070504,White Pocket,0,0,0,0,0,0,0,0,0,23,,0,0
140700070505,Cottonwood Cove-Buckskin Gulch,0,0,0,1,1,0,3,1,2,24,,0,4
140700070606,West Clark Bench-Paria River,0,0,0,0,0,0,1,0,1,25,,0,1
140700070701,Pinnacle Valley,0,0,0,0,0,0,1,0,1,20,,0,1
140700070702,Kid Pen Valley,0,0,0,0,0,0,2,0,2,23,,0,2
140700070703,Judd Hollow-Paria River,0,0,0,0,0,0,3,0,3,23,,0,3
140700070704,Shed Valley,0,0,0,0,0,0,0,0,0,22,,0,0
140700070705,Little Valley-Paria River,0,0,0,0,0,0,0,0,0,22,,0,0
140700070706,Paria Canyon-Paria River,1,1,0,2,2,0,3,1,2,22,,0,6
140801050901,Standing Redrock Creek,1,0,1,1,0,1,2,0,2,19,,0,4
140801050902,Upper Red Wash,0,0,0,0,0,0,1,0,1,19,,0,1
140801050903,Cove Wash,0,0,0,1,1,0,2,1,1,20,,0,3
140801050904,Blackhorse Creek,1,0,1,0,0,0,1,0,1,20,,0,2
140801050905,Horse Mesa Wash,0,0,0,0,0,0,0,0,0,19,,0,0
140801050906,Blackrock Wash,0,0,0,0,0,0,0,0,0,19,,0,0
140801050907,Middle Red Wash,0,0,0,0,0,0,0,0,0,20,,0,0
140801050908,Cottonwood Wash,0,0,0,0,0,0,0,0,0,20,,0,0
140801050909,First Gray Wash,1,0,1,1,0,1,2,0,2,20,,0,4
140801050910,Lower Red Wash,0,0,0,0,0,0,2,0,2,20,0,0.02972121623,2
140801051002,Beclabito Wash,0,0,0,0,0,0,0,0,0,20,0,0.03638799845,0
140801051004,Shoe Game Wash,0,0,0,0,0,0,0,0,0,21,0,0.03279844469,0
140801051005,Salt Wash-San Juan River,0,0,0,0,0,0,0,0,0,21,0,0.00662609854,0
140801061701,Upper Sanostee Wash,0,0,0,1,1,0,2,1,1,18,,0,3
140802010101,Toh Atin Mesa,0,0,0,0,0,0,0,0,0,19,0,0.01364303995,0
140802010102,Upper Tsitah Wash,0,0,0,1,1,0,1,1,0,20,0,0.008001461482,2
140802010103,Middle Tsitah Wash,0,0,0,0,0,0,0,0,0,19,,0,0
140802010104,Lower Tsitah Wash,0,0,0,0,0,0,0,0,0,21,,0,0
140802010201,Teec Nos Pas Wash,1,0,1,1,0,1,1,0,1,20,0,0.004306482892,3
140802010202,Toh Dahstini Wash,1,0,1,1,0,1,1,0,1,20,0,0.02284478213,3
140802010205,Tohache Wash-Lower San Juan River,1,1,0,0,0,0,1,0,1,20,0,0.001498914565,2
140802010206,Yellow Rock Point-Lower San Juan River,1,1,0,0,0,0,1,0,1,20,,0,2
140802010602,Upper Gothic Creek,0,0,0,0,0,0,0,0,0,19,0,0.01168726028,0
140802010603,Salt Spring,0,0,0,0,0,0,0,0,0,19,0,0.023782906,0
140802040101,Prarie Dog Valley,0,0,0,0,0,0,0,0,0,15,,0,0
140802040102,Upper Wheatfields Creek,0,0,0,1,1,0,3,1,2,15,,0,4
140802040103,Lower Wheatfields Creek,0,0,0,1,1,0,1,1,0,16,,0,2
140802040202,Star Peak Springs,0,0,0,0,0,0,0,0,0,15,,0,0
140802040203,Cattail Wash,0,0,0,0,0,0,0,0,0,15,,0,0
140802040204,Crystal Wash,0,0,0,1,1,0,3,1,2,15,,0,4
140802040205,Coyote Wash,0,0,0,0,0,0,0,0,0,15,,0,0
140802040206,Whiskey Creek (Local Drainage),1,0,1,2,1,1,4,1,3,16,,0,7
140802040301,140802040301,0,0,0,0,0,0,0,0,0,18,,0,0
140802040302,Upper Pine Springs Wash,0,0,0,0,0,0,0,0,0,18,0,0.003367637264,0
140802040303,Bi Keesh Wash,0,0,0,0,0,0,0,0,0,18,,0,0
140802040304,Lower Pine Springs Wash,0,0,0,0,0,0,0,0,0,18,,0,0
140802040401,Tsaile Creek-Tsaile Lake,0,0,0,1,1,0,1,1,0,17,,0,2
140802040402,Black Rock Canyon,0,0,0,0,0,0,0,0,0,17,,0,0
140802040403,Canyon del Muerto (Local Drainage),2,0,2,1,0,1,2,0,2,18,0,0.06025680288,5
140802040501,Upper Monument Canyon,0,0,0,1,1,0,1,1,0,16,,0,2
140802040502,Bat Canyon,0,0,0,1,1,0,1,1,0,17,,0,2
140802040503,Lower Monument Canyon,0,0,0,0,0,0,0,0,0,17,,0,0
140802040504,Upper Canyon de Chelly,0,0,0,1,1,0,1,1,0,17,,0,2
140802040505,Lower Canyon de Chelly,2,0,2,1,0,1,2,0,2,18,,0,5
140802040601,Black Mountain Trading Post Area,0,0,0,0,0,0,0,0,0,17,,0,0
140802040602,Upper Cottonwood Wash,0,0,0,0,0,0,0,0,0,17,,0,0
140802040603,Upper Balakai Wash,0,0,0,0,0,0,0,0,0,18,0,0.01401768777,0
140802040604,Tse Ba Ni Zi Ni Wash,0,0,0,0,0,0,0,0,0,18,0,0.01344989138,0
140802040605,Lower Balakai Wash,0,0,0,0,0,0,0,0,0,17,,0,0
