HUC12,HUC12Name,HUC8,HUC8Name,HUC6,HUC6Name,HabitatConditionIndexWS2015,PHWAWatershedHealthIndexState2016),PHWAWatershedHealthIndexER2016,AquaticSpecies,AquaticAnimalSpecies, AquaticPlantSpecies,WetlandSpecies,WetlandAnimalSpecies,WetlandPlantSpecies,TerrestrialSpecies,TerrestrialAnimalSpecies,TerrestrialPlantSpecies,ReptileSpecies,total,ProtectedRareEcosystems,RareEcosysteminWS
1.407E+11,Tsagieto Canyon,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.83,0.884124169,0.814332458,0,0,0,1,1,0,2,1,1,21,24,,0
1.407E+11,Upper Aztec Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.74,0.849417187,0.737406713,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Mountain Sheep Canyon-Lake Powell,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.816558487,0.766463579,0,0,0,0,0,0,0,0,0,23,23,,0
1.407E+11,Wetherill Canyon,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.917195173,0.894380789,0,0,0,0,0,0,0,0,0,23,23,,0
1.407E+11,Upper Kaibito Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.87,0.906230425,0.89539918,0,0,0,0,0,0,0,0,0,20,20,,0
1.407E+11,Red Dirt Tank,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.93499647,0.925242753,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Starting Water Wash,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.99,0.950753498,0.94658544,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Black Rock,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.932906192,0.922501778,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Circular Tank,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.936332556,0.927547395,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Middle Kaibito Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.94,0.915517701,0.851853834,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Peach Wash,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.96,0.941381816,0.946270066,0,0,0,0,0,0,0,0,0,21,21,,0
1.407E+11,Lower Kaibito Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.97,0.945783513,0.855008348,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Warm Creek Bay-Lake Powell,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,,0.913651602,0.882081673,0,0,0,0,0,0,0,0,0,25,25,,0
1.407E+11,Potato Canyon,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.73,0.877110874,0.861895586,0,0,0,0,0,0,0,0,0,21,21,,0
1.407E+11,Binne Etteni Canyon-Navajo Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.69,0.8605376,0.806618826,2,0,2,1,0,1,2,0,2,21,26,,0
1.407E+11,Geshi Canyon,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.91,0.891610944,0.844649298,1,0,1,1,1,0,2,1,1,19,23,,0
1.407E+11,Far End Canyon,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.88,0.886839666,0.879488693,2,0,2,1,0,1,2,0,2,19,24,,0
1.407E+11,Long Canyon,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.88,0.881325654,0.851471125,2,0,2,1,0,1,2,0,2,20,25,,0
1.407E+11,Black Sage Canyon-Navajo Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.97,0.905954745,0.875505186,1,0,1,0,0,0,1,0,1,19,21,,0
1.407E+11,Chaiyahi Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.88,0.879119405,0.830050827,0,0,0,0,0,0,0,0,0,19,19,,0
1.407E+11,Gray Mesa-Navajo Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.98,0.945493225,0.906732895,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Jayi Canyon,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.95,0.877721079,0.749591212,0,0,0,0,0,0,0,0,0,20,20,,0
1.407E+11,High Point Rock-Navajo Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.98,0.948449188,0.858948508,0,0,0,0,0,0,0,0,0,23,23,,0
1.407E+11,Bigman Spring-Navajo Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.91069699,0.824061807,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Navajo Canyon-Lake Powell,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.99,0.940621531,0.858953006,0,0,0,0,0,0,0,0,0,23,23,,0
1.407E+11,Low Valley,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.51,0.862081612,0.841319994,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,White Dome Tank,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.98,0.945434373,0.939745117,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Upper Antelope Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.8,0.904278762,0.8896951,0,0,0,0,0,0,0,0,0,22,22,,0
1.407E+11,Lower Antelope Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.93,0.914397216,0.830213091,0,0,0,0,0,0,0,0,0,23,23,,0
1.407E+11,Blue Pool Wash-Wahweap Creek,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,4.97,0.808125036,0.794101698,0,0,0,0,0,0,0,0,0,25,25,,0
1.407E+11,Wahweap Bay-Lake Powell,14070006,Lower Lake Powell,140700,Upper Colorado-Dirty Devil,5,0.928944762,0.909370857,0,0,0,0,0,0,1,0,1,25,26,,0
