HUC12,Name-12,HUC8,Name,ForestChange,WetlandsChange,HabitatConditionIndex,At-RiskAquaticSpecies,At-RiskAquaticAnimalSpecies,At-RiskAquatiPlantSpecies,At-RiskWetlandSpecies,At-RiskWetlandAnimalSpecies,At-RiskWetlandPlantSpecies,At-RiskTerrestrialSpecies,At-RiskTerrestrialAnimalSpecies,At-RiskTerrestrialPlantSpecies,total,ProtectedRareEcosystems,RareEcosysteminWS,Urban2011,UrbanChange,DevelopedHI,DevelopedMI,DevelopedLI,DevelopedOpenSpace
100200011101,Upper Horse Prairie Creek,10020001,Red Rock,-0.03,0.43,4.88,0,0,0,0,0,0,1,1,0,1,,0,0.5828002843,0,0,0,0.006091989034,0.5767082953
100200010401,Upper Little Sheep Creek,10020001,Red Rock,-0.02,0.02,4.83,0,0,0,0,0,0,2,2,0,2,,0,0,0,0,0,0,0
100200011201,Headwaters Medicine Lodge Creek,10020001,Red Rock,-0.08,0.34,4.89,0,0,0,1,1,0,2,2,0,3,,0,0,0,0,0,0,0
100200010101,Red Rock Creek,10020001,Red Rock,-0.6,0.01,4.86,1,1,0,0,0,0,3,2,1,4,,0,0.809848629,0,0,0,0.0108704514,0.7989781776
100200010203,Winslow Creek,10020001,Red Rock,-4.4,3.42,4.78,0,0,0,1,1,0,3,3,0,4,,0,0.6247433566,0,0,0,0.02933067402,0.5954126826
100200010204,Red Rock River-Bean Creek,10020001,Red Rock,0.08,-0.19,4.91,0,0,0,1,1,0,3,3,0,4,,0,0.06679480364,0,0,0,0,0.06679480364
100200010206,Peet Creek,10020001,Red Rock,0.38,2.12,4.73,0,0,0,1,1,0,3,3,0,4,,0,0.7612151913,0,0,0.001376519333,0.1004859113,0.6593527606
100200010301,Big Beaver Creek,10020001,Red Rock,0,0.42,4.91,0,0,0,1,1,0,3,3,0,4,,0,0.1240615564,0,0,0,0.00273665198,0.1213249044
100200010303,Upper Junction Creek,10020001,Red Rock,-0.05,0.33,4.91,0,0,0,1,1,0,3,3,0,4,,0,0.1578440362,0,0,0,0,0.1578440362
100200010501,Upper Nicholia Creek,10020001,Red Rock,-0.08,0.49,4.88,1,0,1,1,0,1,2,1,1,4,,0,0,0,0,0,0,0
100200011002,Upper Bloody Dick Creek,10020001,Red Rock,-0.26,0.28,4.84,0,0,0,1,1,0,3,3,0,4,0,0.00371792623,0,0,0,0,0,0
