# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Aberdeen; Idaho Weather Station,ID,42.953333,-112.82667,US/Mountain,3/20/1991,,m,0,agrimet_map,,,agrimet,noaa,PN,abei,1341
INL - Blackfoot;  Idaho  Weather Station,ID,43.18985,-112.3332,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN,acki,1377.696
Afton; Wyoming AgriMet Weather Station,WY,42.73333,-110.93583,US/Mountain,11/1/1980,,m,0,agrimet_map,,,agrimet,pnro,PN,afty,1892.81
Ashton; Idaho AgriMet Weather Station,ID,44.025,-111.46666,US/Mountain,6/1/1987,,m,0,agrimet_map,,,agrimet,pnro,PN,ahti,1615.44
Snake River above Reservoir near Alpine; WY,WY,43.19627073,-110.8895682,US/Mountain,00:00.0,13022500,ft,0,Bill_KML,,,stream,usgs/pnro,PN,alpy,5684
American Falls Reservoir at American Falls; ID,ID,42.77916,-112.87917,US/Mountain,00:00.0,,ft,0,cma_google,,,reservoir,pnro,PN,amf,4370
Snake River at Neeley; ID,ID,42.767518,-112.879474,US/Mountain,,13077000,ft,0,Bill_KML,,,stream,usgs/pnro,PN,amfi,4242
Anderson Ranch Dam and Reservoir; ID,ID,43.358363055000041,-115.446731902000000,Mountain UTC-7:00,,WGS84,NAVD88,0,,-7,,reservoir,pnro,PN,and,3880.000000000000000
Aurora; Oregon AgriMet Weather Station,OR,45.28194,-122.75027,US/Pacific,10/22/1998,,m,0,agrimet_map,,,agrimet,pnro,PN,arao,42.67
Arrowrock Dam and Reservoir; ID,ID,43.595400000000041,-115.922500000000000,Mountain UTC-7:00,,WGS84,NAVD88,0,,-7,,reservoir,pnro,PN,ark,3216.000000000000000
Bandon; Oregon AgriMet Weather Station,OR,43.09111,-124.41722,US/Pacific,5/1/1985,,m,0,agrimet_map,,,agrimet,pnro,PN,bano,24.38
Agency Valley (Beulah) Dam and Reservoir; OR,OR,43.911354704000082,-118.157181059000000,Mountain UTC-7:00,,WGS84,NAVD88,0,,-7,,reservoir,pnro,PN,beu,3305.000000000000000
Bend; Oregon AgriMet Weather Station,OR,44.0475,-121.32027,US/Pacific,5/1/2003,,m,0,agrimet_map,,,agrimet,pnro,PN,bewo,1103.38
Boise Fairgrounds Weather Station,ID,43.65303,-116.27417,US/Mountain,8/15/2013,,m,0,agrimet_map,,,agrimet,pnro,PN,bfgi,800
Snake River near Blackfoot; ID,ID,43.12513846,-112.518792,US/Mountain,00:00.0,13069500,ft,0,Bill_KML,,,stream,usgs/pnro,PN,bfti,4400
Baker Valley; Oregon Agrimet Weather Station,OR,44.88277,-117.96277,US/Pacific,4/1/2001,,m,0,agrimet_map,,,agrimet,pnro,PN,bkvo,1042.42
Bonneville Dam AgriMet; Washington AgriMet Weather Station,WA,45.64777,-121.93111,US/Pacific,4/13/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,bndw,24.38
Boise; Idaho AgriMet Weather Station,ID,43.60027,-116.17694,US/Mountain,7/26/1995,,m,0,agrimet_map,,,agrimet,pnro,PN,boii,829.06
Brookings; Oregon AgriMet Weather Station,OR,42.03,-124.24083,US/Pacific,9/27/1999,,m,0,agrimet_map,,,agrimet,pnro,PN,brko,24.38
Bully Creek Dam and Reservoir near Vale; OR,OR,44.014802639000038,-117.397088463000000,Mountain UTC-7:00,,WGS84,NAVD88,0,,-7,,reservoir,pnro,PN,bul,2516.000000000000000
Coeur d'Alene Fairgrounds; Idaho Weather Station,ID,47.71797,-116.78418,US/Pacific,,,m,0,agrimet_map,,,agrimet,pnro,PN,cdai,620
Chamokane; Washington AgriMet Weather Station,WA,48.03138,-117.73916,US/Pacific,11/27/2007,,m,0,agrimet_map,,,agrimet,pnro,PN,chaw,594.36
Christmas Valley; Oregon AgriMet Weather Station,OR,43.24138,-120.72805,US/Pacific,4/1/1985,,m,0,agrimet_map,,,agrimet,pnro,PN,chvo,1312.16
Chief Joseph Dam; Washington AgriMet Weather Station,WA,47.99083,-119.63555,US/Pacific,4/15/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,cjdw,301.75
LAKE COMO RESERVOIR,MT,46.06111,-114.23333,,,,,0,,,,reservoir,,PN,cmo,
Corvallis; Montana AgriMet Weather Station,MT,46.33333,-114.08333,US/Mountain,4/1/1984,,m,0,agrimet_map,,,agrimet,pnro,PN,covm,1096.37
Creston; Montana AgriMet Weather Station,MT,48.1875,-114.12777,US/Mountain,4/1/1988,,m,0,agrimet_map,,,agrimet,pnro,PN,crsm,899.16
Corvallis; Oregon AgriMet Weather Station,OR,44.63416,-123.19,US/Pacific,2/1/1990,,m,0,agrimet_map,,,agrimet,pnro,PN,crvo,70.1
Dee Flat; Oregon AgriMet Weather Station,OR,45.58638,-121.64055,US/Pacific,11/1/1988,,m,0,agrimet_map,,,agrimet,pnro,PN,defo,350.52
Dworshak - Dent Acres; Idaho AgriMet Weather Station,ID,46.62333,-116.22055,US/Mountain,4/19/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,deni,499.87
Deer Lodge; Montana AgriMet Weather Station,MT,46.33555,-112.76666,US/Mountain,6/4/1998,,m,0,agrimet_map,,,agrimet,pnro,PN,drlm,1426.46
Deer Park; Washington Weather Station,WA,47.954642,-117.433522,US/Pacific,6/25/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,drpw,662.94
Detroit Lake; Oregon AgriMet Weather Station,OR,44.73,-122.17916,US/Pacific,4/19/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,dtro,510.54
Downey; Idaho Weather Station,ID,42.43355,-112.12929,US/Mountain,3/27/2015,,m,0,agrimet_map,,,agrimet,pnro,PN,dwni,1483
INL - Material Fuels Complex; Idaho,ID,43.594133,-112.651733,US/Mountain,,,ft,0,,,,agrimet,noaa,PN,ebri,1687.335958
Echo; Oregon AgriMet Weather Station,OR,45.71861,-119.31111,US/Pacific,3/1/1988,,m,0,agrimet_map,,,agrimet,pnro,PN,echo,231.65
Entiat Fish Hatchery; Washington Weather Station,WA,47.69796,-120.32373,US/Pacific,9/26/2013,,m,0,agrimet_map,,,agrimet,pnro,PN,efhw,315
Fairfield; Idaho AgriMet Weather Station,ID,43.31305,-114.82222,US/Mountain,6/1/1987,,m,0,agrimet_map,,,agrimet,pnro,PN,fafi,1535.58
Snake River near Flagg Ranch; WY,WY,44.09914518,-110.667458,US/Mountain,00:00.0,13010065,ft,0,Bill_KML,,,stream,usgs/pnro,PN,flgy,0
Forest Grove; Oregon AgriMet Weather Station,OR,45.55305,-123.08361,US/Pacific,5/1/1989,,m,0,agrimet_map,,,agrimet,pnro,PN,fogo,54.86
Fort Hall; Idaho AgriMet Weather Station,ID,43.07138,-112.43111,US/Mountain,11/15/1992,,m,0,agrimet_map,,,agrimet,pnro,PN,fthi,1354.84
Grand Coulee Dam; Washington AgriMet Weather Station,WA,47.94527,-118.95361,US/Pacific,4/16/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,gcdw,402.34
Grand View; Idaho AgriMet Weather Station,ID,42.9125,-116.05611,US/Mountain,10/1/1992,,m,0,agrimet_map,,,agrimet,pnro,PN,gdvi,786.38
George; Washington AgriMet Weather Station,WA,47.04388,-119.64222,US/Pacific,5/1/1986,,m,0,agrimet_map,,,agrimet,pnro,PN,gerw,350.52
