description,state,latitude,longitude,type
Colorado River Below Big Bend,AZ,35.0917,-114.6328,stream
Colorado River Below Interstate Bridge,AZ,33.6006,-114.5497,stream
Colorado River Below McIntyre Park,AZ,33.5164,-114.5692,stream
Colorado River Below Needles Bridge,CA,34.8181,-114.5908,stream
Colorado River Below Oxbow Bridge,AZ,33.3683,-114.7264,stream
CAP Canal Export,AZ,34.2889,-114.1031,diversion
Colorado River at Cibola Gage,AZ,33.2322,-114.6817,stream
Lake Mohave,AZ,35.2042,-114.5858,reservoir
Lake Mead,NV,36.0153,-114.7378,reservoir
DRI - Moapa Valley; Nevada Weather Station,NV,36.569722,-114.458889,agrimet
MWD Canal Export,CA,34.3164,-114.1564,diversion
Lake Havasu,AZ,34.3067,-114.1364,reservoir
Colorado River at Parker Gage,CA,34.1428,-114.3189,stream
DRI - Pahranagat NWR; Nevada Weather Station,NV,37.245556,-115.106389,agrimet
Colorado River at River Section 41,AZ,34.6986,-114.4664,stream
Colorado River at Taylor Ferry,AZ,33.4508,-114.6353,stream
Colorado River at Water Wheel,AZ,33.9206,-114.5356,stream
Aberdeen; Idaho Weather Station,ID,42.953333,-112.82667,agrimet
INL - Blackfoot;  Idaho  Weather Station,ID,43.18985,-112.3332,agrimet
Afton; Wyoming AgriMet Weather Station,WY,42.73333,-110.93583,agrimet
Ashton; Idaho AgriMet Weather Station,ID,44.025,-111.46666,agrimet
Snake River above Reservoir near Alpine; WY,WY,43.19627073,-110.8895682,stream
American Falls Reservoir at American Falls; ID,ID,42.77916,-112.87917,reservoir
Snake River at Neeley; ID,ID,42.767518,-112.879474,stream
Anderson Ranch Dam and Reservoir; ID,ID,43.35836306,-115.4467319,reservoir
Aurora; Oregon AgriMet Weather Station,OR,45.28194,-122.75027,agrimet
Arrowrock Dam and Reservoir; ID,ID,43.5954,-115.9225,reservoir
Bandon; Oregon AgriMet Weather Station,OR,43.09111,-124.41722,agrimet
Agency Valley (Beulah) Dam and Reservoir; OR,OR,43.9113547,-118.1571811,reservoir
Bend; Oregon AgriMet Weather Station,OR,44.0475,-121.32027,agrimet
Boise Fairgrounds Weather Station,ID,43.65303,-116.27417,agrimet
Snake River near Blackfoot; ID,ID,43.12513846,-112.518792,stream
Baker Valley; Oregon Agrimet Weather Station,OR,44.88277,-117.96277,agrimet
Bonneville Dam AgriMet; Washington AgriMet Weather Station,WA,45.64777,-121.93111,agrimet
Boise; Idaho AgriMet Weather Station,ID,43.60027,-116.17694,agrimet
Brookings; Oregon AgriMet Weather Station,OR,42.03,-124.24083,agrimet
Bully Creek Dam and Reservoir near Vale; OR,OR,44.01480264,-117.3970885,reservoir
Coeur d'Alene Fairgrounds; Idaho Weather Station,ID,47.71797,-116.78418,agrimet
Chamokane; Washington AgriMet Weather Station,WA,48.03138,-117.73916,agrimet
Christmas Valley; Oregon AgriMet Weather Station,OR,43.24138,-120.72805,agrimet
Chief Joseph Dam; Washington AgriMet Weather Station,WA,47.99083,-119.63555,agrimet
LAKE COMO RESERVOIR,MT,46.06111,-114.23333,reservoir
Corvallis; Montana AgriMet Weather Station,MT,46.33333,-114.08333,agrimet
Creston; Montana AgriMet Weather Station,MT,48.1875,-114.12777,agrimet
Corvallis; Oregon AgriMet Weather Station,OR,44.63416,-123.19,agrimet
Dee Flat; Oregon AgriMet Weather Station,OR,45.58638,-121.64055,agrimet
Dworshak - Dent Acres; Idaho AgriMet Weather Station,ID,46.62333,-116.22055,agrimet
Deer Lodge; Montana AgriMet Weather Station,MT,46.33555,-112.76666,agrimet
Deer Park; Washington Weather Station,WA,47.954642,-117.433522,agrimet
Detroit Lake; Oregon AgriMet Weather Station,OR,44.73,-122.17916,agrimet
Downey; Idaho Weather Station,ID,42.43355,-112.12929,agrimet
INL - Material Fuels Complex; Idaho,ID,43.594133,-112.651733,agrimet
Echo; Oregon AgriMet Weather Station,OR,45.71861,-119.31111,agrimet
Entiat Fish Hatchery; Washington Weather Station,WA,47.69796,-120.32373,agrimet
Fairfield; Idaho AgriMet Weather Station,ID,43.31305,-114.82222,agrimet
Snake River near Flagg Ranch; WY,WY,44.09914518,-110.667458,stream
Forest Grove; Oregon AgriMet Weather Station,OR,45.55305,-123.08361,agrimet
Fort Hall; Idaho AgriMet Weather Station,ID,43.07138,-112.43111,agrimet
Grand Coulee Dam; Washington AgriMet Weather Station,WA,47.94527,-118.95361,agrimet
Grand View; Idaho AgriMet Weather Station,ID,42.9125,-116.05611,agrimet
George; Washington AgriMet Weather Station,WA,47.04388,-119.64222,agrimet
Glenns Ferry; Idaho AgriMet Weather Station,ID,42.86666,-115.35694,agrimet
Goldendale; Washington AgriMet Weather Station,WA,45.81194,-120.82444,agrimet
Greys River above Reservoir near Alpine; WY,WY,43.14296552,-110.9767506,stream
Grassy Lake near Moran; WY,WY,44.12965909,-110.8193888,reservoir
INL - Hamer;  Idaho Weather Station,ID,44.007417,-112.238833,agrimet
Snake River near Heise; ID,ID,43.61239853,-111.6598844,stream
Henrys Lake Dam on Henrys Fork nr. Lake; ID,ID,44.597222,-111.353611,reservoir
Henrys Fork near Lake; ID,ID,44.59521279,-111.3495995,stream
Hermiston; Oregon AgriMet Weather Station,OR,45.82111,-119.52138,agrimet
HUNGRY HORSE RES NR HUNGRY HORSE; MT,MT,48.34111,-114.01334,reservoir
Hood River; Oregon AgriMet Weather Station,OR,45.68444,-121.51805,agrimet
Hereford; Oregon AgriMet Weather Station,OR,44.48805,-118.02,agrimet
Harrah; Washington AgriMet Weather Station,WA,46.38472,-120.57444,agrimet
Hermiston R & E Center; Oregon AgriMet Weather Station,OR,45.81944,-119.28333,agrimet
INL - Richfield;  Idaho Weather Station,ID,43.0606,-114.134583,agrimet
INL - Idaho Falls;  Idaho Weather Station,ID,43.504133,-112.050133,agrimet
INL - INTEC/Grid 3; Idaho,ID,43.5897,-112.730267,agrimet
Imbler; Oregon AgriMet Weather Station,OR,45.43333,-117.96666,agrimet
Island Park Dam and Reservoir; ID,ID,44.41893154,-111.3984276,reservoir
